Id,SalePrice
2658,165641.31790386833
2718,167380.24703573633
2414,213334.87253979227
1989,108707.33039966639
625,179281.3846671208
333,85846.38361555432
1327,110040.39198703805
858,151216.38746910694
95,199880.48128089873
1568,171870.1392075181
2482,169663.1874495357
1364,129225.76399005261
2584,183076.37409770174
818,239236.77749320224
2673,192768.02073363753
2089,111736.18914745905
1297,156237.94752730062
790,123872.71015209935
2616,197257.29556869983
720,192380.5058186514
222,147823.8136994654
557,115136.94396682351
1148,213743.9999463021
2766,186805.12588320652
534,198495.24076725202
1452,115236.18114247295
630,110872.3836532846
2648,98308.2707763971
125,139361.21762545969
1904,31942.274532361684
1670,113533.09043301847
756,94504.9447008341
717,244085.43077374296
1032,152329.4194929928
852,224825.8951265744
1731,182649.3290047634
2639,127017.1497011686
2071,90854.34182599335
1267,94906.75959746957
1851,197867.06352959527
567,157665.05652064318
2439,214350.94522787002
1898,145962.53789926492
647,168840.43004296382
2256,215624.56373302406
979,97445.58642237737
1444,224636.2165956638
2485,107957.18696325556
157,121154.5791305363
88,100367.23707512714
2003,113963.41579495049
186,204036.3050408184
1425,258821.26698444402
2695,129672.77516612649
738,83184.5815201603
395,152683.04231023372
1353,167918.10420483578
1878,151683.051892864
390,175514.49508501744
1456,235957.17399441544
1103,296914.5659892335
1387,101329.28591522799
2070,142029.35552882415
1199,185796.40940666918
2479,173414.2687103334
501,288971.7769727479
2362,75282.13036015963
1718,225912.4897055024
2188,38790.53433350692
1483,155399.01524676377
2557,75250.10450427761
437,333575.6318000788
2224,214301.0640657196
1628,177924.35553066272
397,137063.02911906692
587,216624.10670169795
971,151412.87232655555
2611,146442.66312988935
1887,86012.72673416387
2399,324964.5555429148
2148,219068.23208292882
304,114333.36077963674
1997,123498.14340060335
2817,95385.14149308777
1431,171404.29234760365
427,340945.07059029164
263,114243.76313459576
598,181918.0215913273
2895,261688.29647897198
687,150076.56942979305
1822,123175.40340072973
2191,121562.56421596656
179,129520.13154024974
1009,200533.48221709064
2010,117413.99970851978
