Id,SalePrice
2658,165909.15241041407
2718,166820.05069114894
2414,213379.44593112776
1989,108559.34648845928
625,179133.6904999296
333,85764.86287801848
1327,110135.20858116802
858,151403.15987167566
95,199971.413761685
1568,171876.82648811096
2482,169709.0026423158
1364,129148.98923742124
2584,183048.51047670358
818,238780.87959245004
2673,193481.78635188093
2089,111499.96253714299
1297,155843.62112903484
790,123791.33305408727
2616,197364.09750229903
720,192127.74912353198
222,147979.2093334367
557,114836.16138752516
1148,213936.4642848908
2766,186936.67671930985
534,198542.87599080402
1452,115231.09644133775
630,110366.99846513732
2648,97931.81460946999
125,139188.6135990937
1904,32108.129857228574
1670,113603.35064104217
756,94334.02797692208
717,244533.34237302325
1032,152344.85309256945
852,224835.3859907264
1731,182519.5197329465
2639,127359.45179685703
2071,91319.96073302327
1267,94791.12937778591
1851,197794.95691547793
567,157695.903187894
2439,214308.79934722104
1898,145936.61611329648
647,169094.89476494995
2256,215763.76024087367
979,97421.92506731703
1444,224697.71249712943
2485,107721.06743138065
157,121210.77853035764
88,100018.95029456346
2003,113813.71307428592
186,204111.35845074983
1425,258820.24298156128
2695,129680.12002399871
738,82763.82769589504
395,152782.143442001
1353,167641.14220541617
1878,151684.88106935233
390,175307.25924032912
1456,236032.51729500527
1103,297181.5439870938
1387,100788.18022393882
2070,141890.41768315953
1199,185712.23851565798
2479,173409.29909130035
501,289089.88078018866
2362,74993.56222850307
1718,226245.33409908312
2188,38529.01539028861
1483,155444.83833662095
2557,75070.520425106
437,333834.93882878456
2224,214268.86547014958
1628,177812.0428348
397,137125.27043572048
587,216711.27910792019
971,151345.38130299008
2611,146240.5497278557
1887,85909.84366380383
2399,325269.01841473824
2148,219049.2942846663
304,114007.19532419828
1997,123393.19204985446
2817,95103.86508475666
1431,171228.38295737206
427,341256.0533265992
263,114117.0454770854
598,181853.2641724127
2895,261960.26797731855
687,149969.7022291863
1822,123184.4111369258
2191,122181.55531966986
179,129402.38446887357
1009,200393.91121266654
2010,117364.57662536515
1991,149177.46273266774
1411,166953.25006637562
1721,267900.2967613506
1144,189730.40892952276
593,217025.87335816846
575,284635.48743071174
1249,193833.0077575459
1604,109400.93204769638
1064,397724.6048815532
1923,163822.42465646873
1988,101748.45840882213
2325,171218.00671226875
114,225473.41206790914
2700,183678.32734239384
217,140228.2916895565
343,179679.0123454646
386,228550.25302019494
2005,132560.5313326912
2908,157564.87244606367
1814,228250.67875305488
2446,437244.8750102418
208,112480.33807924847
1679,112240.77678473436
822,282903.34784442146
6,201469.400698274
1781,341567.14326426596
2397,286780.75159466424
2340,273753.55794169114
1618,182415.65588619147
2843,132793.26619781414
1061,337356.2000452607
2786,124457.3213271308
1935,128169.48927375431
1341,99549.54922231991
521,274666.105056165
2136,127863.24144368304
996,191414.40996346364
227,146207.2100180505
135,178975.52800499965
1167,158649.08849902757
294,218960.89423175657
1776,204471.05855101199
540,180416.52677856776
1717,226241.40662665654
2303,130013.29941906553
116,186651.64820412357
127,126688.87607403993
1371,133376.53478954313
1014,197946.01050856087
1507,85101.71911672359
702,127960.29064103498
750,159987.5868479745
261,164240.4980820748
1559,68235.15767662371
577,234829.66748969007
2812,212804.26756040985
2080,170154.9124797808
1368,94771.30874954151
2376,105935.46482104962
659,103718.98679872259
1235,123837.43035666877
332,69507.81523752426
1917,136521.5833930506
2094,247732.57690509496
1460,272734.36284782656
1471,210598.906723365
1509,123102.41665792387
1922,124028.82135723277
433,406840.1085542215
460,273692.5609119306
1116,252857.09852257714
1137,168526.34183420308
53,175692.25164409395
2354,248298.36962527194
1475,207278.64561071264
1761,456795.1594032296
842,135294.41791331672
2739,188809.95878151793
2509,165640.6323097854
1007,214017.43330026107
2610,191622.68086744586
1952,75400.13103261066
2719,162725.12540108224
2921,80807.0722337894
1966,132587.85516311458
292,110655.43731352448
1204,194015.549765625
1829,258993.73793756665
2419,189013.99095184167
391,167018.46833060525
798,120915.29915258943
481,197010.33541188747
193,211719.53539888118
555,117039.11881112252
899,62770.17937753463
2357,187188.47322307178
328,118434.96697626496
1356,106913.4568550756
1154,95029.75968187733
1730,178858.02784288258
2249,154606.10185540537
1119,254293.73900126707
2856,132280.6105285118
1394,143866.38854725956
2587,124485.20115653003
61,309117.08206715767
2661,175897.17825377377
2711,143385.2921861378
1147,176607.81391593773
757,114344.79824727346
2623,74367.19563714528
2378,155665.4759491506
1413,146120.81536691566
1722,251829.4294444446
1112,216839.83566215352
1623,194402.86746616336
1201,189798.78549407335
1513,95271.39255769741
957,650186.6174376078
1171,245181.4616327749
1145,195010.18357743177
2726,264244.4303382015
703,159404.36533743775
760,72428.99612518595
1964,128127.51646241618
2512,173768.11119880606
159,149971.43332086786
1281,164947.21602071193
468,191612.69274913304
290,126127.8718737408
665,118385.16067692125
1463,272482.498690457
1792,226844.64847211467
923,150877.83425036183
500,268502.9879371486
1408,192569.44861440425
331,73297.35882287266
170,105717.90647718198
2192,89378.67566390183
2571,297203.58433446847
2314,181993.38453860575
2647,91648.84559499931
422,361078.0257660595
2457,337126.3370350978
1838,208381.7504208908
2805,266708.7661245504
1645,168838.85934248485
1711,300967.0022515643
2825,263408.18925971014
322,308049.68716871843
2103,263974.652410659
342,133062.613780214
600,112913.53614855849
488,193417.98452640607
1725,313477.9916556373
2246,243227.27135812462
2847,166160.26028136237
806,245676.37681107497
530,233745.28883073278
963,192235.71360668272
2678,70517.57767419613
171,72638.69426598414
2401,374694.1586800306
805,224299.4695257957
2259,231289.46560190947
1748,184962.18299133456
1361,143629.51184768835
1677,117671.41090975504
1406,154166.54946977558
2322,259617.6344591195
688,158053.21254035842
143,138775.22771082248
804,204975.54713937888
1214,149709.46272285155
2828,143751.9101973069
1999,190957.80961172914
2467,198102.58171043335
2665,163510.65501480017
1538,327448.29469230736
398,101589.99061873059
2822,147560.25287338026
2157,147023.8743190587
1856,200559.7837018589
1269,82719.70762029085
2570,120421.5543632157
2320,248085.67762198782
1517,155948.89970576536
2304,117799.65074094788
1312,88999.14205519042
2012,140587.68380787873
506,266809.1759960878
2865,220717.5637543844
2367,107493.5963487207
554,99766.66733400864
238,136182.5192312832
1954,115568.034702459
2488,120213.32475437192
2291,76974.03096779335
1969,74623.23391360253
2725,174715.15555214827
1482,155444.83833662095
2763,201308.80890250663
503,237375.41945013392
1584,230463.4425591838
1531,135258.7116637509
2210,166190.7190923192
459,314406.325933686
556,124752.69713868664
1347,131217.72401877327
1290,65575.47312129935
1388,89370.69836164228
1571,505385.6178632559
2754,215052.4084818738
765,124102.76017547262
2494,130221.13103835279
2870,215312.02999278335
7,210288.7907177845
1114,230986.6774859349
2418,272728.21530848637
291,115317.13983473764
18,294461.7702993906
39,315761.95271242165
1001,253560.03842382625
2442,235654.49310460154
616,108187.93514949232
2680,66120.63228369091
1414,115416.92679918624
289,139805.5760512672
40,272727.44769605127
860,120332.52432035783
409,137021.58200555074
673,157790.4823987457
2427,176602.40417592105
2036,215140.44253760917
2564,155639.75450589808
642,164583.1272607514
1008,188411.60281800828
1908,131296.3528157512
2519,200909.69518085485
1369,93159.41800104956
2855,163174.77480655015
712,93961.85866787982
1943,97765.16899405228
1958,137951.38526574714
107,158902.01278107963
2295,235442.13989904895
704,112396.62322956817
676,146182.10866155667
259,184216.05020553592
93,265667.77424752206
106,233167.32419045782
2315,195811.195685319
1050,103709.17150636205
1095,201424.94802869798
2709,146520.95300405246
758,122084.1126306621
1496,164925.6350851823
2370,131924.5824097561
2458,244087.9510337634
2733,137586.5804477645
161,264378.18750749284
726,142422.76314107497
845,208032.30461851563
947,255360.98641482517
2232,118030.59605259716
2563,151376.834414484
2299,184477.44050047052
211,94953.06733154356
605,168325.01475733265
1478,207440.89021889138
2247,245800.35340072113
2274,238532.9115738462
2869,204936.5877474648
967,220725.356310694
2656,111096.44334617398
667,192108.88308082832
1042,117464.69739982497
2023,180595.0810498961
2447,320805.4599200086
2055,116918.34338924769
2275,277692.52068078495
2204,164044.50489092048
1563,242527.14204948535
483,235425.37722950568
796,122433.01346381361
1526,157623.61549839942
2042,147173.2242349048
442,318533.5282822115
1693,312995.19861516065
1468,212115.69748379878
1430,205553.48496272022
2605,169673.28608405837
1529,188881.4135326901
335,172132.47072651636
1287,127935.59721797078
31,92533.40095043965
1785,252994.9308818539
82,171364.13704921945
2620,143427.21577747646
252,200533.16637295685
721,43762.445861615444
2165,193551.2381848209
2316,183401.00679242006
775,121508.67625126602
1558,112688.30605155269
17,209969.2195597159
1022,237658.27792004863
925,118710.79320795825
438,294904.0878396792
1270,136983.76822783804
1272,111933.4708990442
215,125050.38983272584
266,230348.85322382077
2402,281176.5519496995
1250,135279.72265568835
1984,116066.01412704363
1279,144040.08819087685
377,261274.1629925579
1252,113386.99039819276
2156,256239.01303043705
499,285903.2772169746
1374,140116.15501142008
2898,254955.42178328458
401,118723.15701181638
2721,179201.46004683166
2078,242000.2216435875
2589,131689.50662730343
1946,243790.4265354355
1334,108687.87584070089
2781,242766.7006776762
431,349223.62354373635
576,196437.64851637854
1474,203898.03307132266
2254,159220.9757896649
2155,268942.8478540332
885,79952.9748237045
643,138461.59866638377
1944,124579.46957914508
480,208317.90353610733
2845,106309.10937466972
2387,312463.1247657307
2407,238920.527670066
2527,180101.62335268725
2514,159249.31348276362
629,183689.66310790274
80,205930.7374559633
1876,141080.12179721362
1546,123774.55483192469
2518,176725.67045350146
2347,172781.02189970497
783,237221.35654697326
1322,52367.05351936618
194,71821.189181657
1770,277028.3328297916
2143,113829.63497201241
1229,204804.47655947233
511,266415.3722317618
46,237587.50918057538
1348,156177.57974304457
2465,196018.54943371957
387,236638.46314875933
873,208906.31580725434
1918,117565.43403763435
2764,235391.62275676738
2184,129784.8876843047
934,144365.61144885028
1920,116627.37565682476
2631,144226.78786863346
1768,472421.9070552327
2040,113848.27329288531
1749,225084.88663833577
834,238974.95883434176
1457,251626.61318456073
79,116069.70080351215
2302,123031.02238880614
1817,139985.04756568267
2755,238066.8730017661
359,173194.91338318624
2059,104169.86774809711
2092,227904.26747421036
2516,236427.2947593938
150,128733.2022694315
1656,140636.696322519
83,102078.12216090012
2411,185866.55205349575
795,69360.8855812591
2312,243769.5841364864
2917,93380.45965029686
1624,179836.9009639554
2215,273403.4849896793
1211,157706.26969029274
1485,158281.28238567448
1024,164848.5342046672
570,196728.58379648346
